,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_pct,3P_pct,FT_pct,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM,VORP
0,2014,1,MIN,Karl-Anthony Towns,University of Kentucky,1,44,1289,699,427,56,0.523,0.389,0.854,29.3,15.9,9.7,1.3,3.9,0.146,1.6,1.2
1,2014,2,LAL,D'Angelo Russell,Ohio State University,1,42,1137,500,158,145,0.405,0.325,0.678,27.1,11.9,3.8,3.5,-0.2,-0.01,-1.9,0.0
2,2014,3,PHI,Jahlil Okafor,Duke University,1,40,1234,702,295,48,0.489,0.0,0.684,30.9,17.6,7.4,1.2,1.1,0.044,-4.1,-0.6
3,2014,4,NYK,Kristaps Porzingis,,1,44,1240,617,348,54,0.432,0.336,0.86,28.2,14.0,7.9,1.2,3.2,0.125,1.1,1.0
4,2014,5,ORL,Mario Hezonja,,1,38,528,173,62,38,0.409,0.359,0.933,13.9,4.6,1.6,1.0,0.3,0.025,-4.3,-0.3
5,2014,6,SAC,Willie Cauley-Stein,University of Kentucky,1,27,489,143,139,10,0.611,0.0,0.509,18.1,5.3,5.1,0.4,1.5,0.143,1.5,0.4
6,2014,7,DEN,Emmanuel Mudiay,,1,28,820,299,95,159,0.316,0.253,0.644,29.3,10.7,3.4,5.7,-2.1,-0.123,-6.1,-0.8
7,2014,8,DET,Stanley Johnson,University of Arizona,1,42,939,343,169,56,0.372,0.319,0.793,22.4,8.2,4.0,1.3,0.7,0.037,-2.5,-0.1
8,2014,9,CHO,Frank Kaminsky,University of Wisconsin,1,41,872,323,163,55,0.41,0.35,0.738,21.3,7.9,4.0,1.3,1.6,0.087,-1.1,0.2
9,2014,10,MIA,Justise Winslow,Duke University,1,40,1065,213,182,51,0.388,0.24,0.66,26.6,5.3,4.6,1.3,0.4,0.02,-2.2,-0.1
10,2014,11,IND,Myles Turner,University of Texas at Austin,1,20,309,147,73,7,0.561,0.0,0.675,15.5,7.4,3.7,0.4,1.1,0.175,-1.5,0.0
11,2014,12,UTA,Trey Lyles,University of Kentucky,1,40,737,196,168,33,0.435,0.474,0.615,18.4,4.9,4.2,0.8,0.9,0.061,-2.7,-0.1
12,2014,13,PHO,Devin Booker,University of Kentucky,1,37,718,321,66,40,0.483,0.446,0.806,19.4,8.7,1.8,1.1,1.2,0.077,-2.7,-0.1
13,2014,14,OKC,Cameron Payne,Murray State University,1,28,319,136,48,53,0.43,0.4,0.75,11.4,4.9,1.7,1.9,1.1,0.165,1.8,0.3
14,2014,15,ATL,Kelly Oubre,University of Kansas,1,34,470,154,88,11,0.401,0.375,0.697,13.8,4.5,2.6,0.3,0.4,0.041,-4.5,-0.3
15,2014,16,BOS,Terry Rozier,University of Louisville,1,16,96,27,16,9,0.261,0.182,1.0,6.0,1.7,1.0,0.6,-0.4,-0.181,-12.3,-0.2
16,2014,17,MIL,Rashad Vaughn,"University of Nevada, Las Vegas",1,36,403,86,44,14,0.297,0.36,0.889,11.2,2.4,1.2,0.4,-0.3,-0.04,-6.2,-0.4
17,2014,18,HOU,Sam Dekker,University of Wisconsin,1,3,6,0,1,0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.112,0.8,0.0
18,2014,19,WAS,Jerian Grant,University of Notre Dame,1,41,647,192,73,92,0.342,0.14,0.813,15.8,4.7,1.8,2.2,-0.1,-0.007,-4.9,-0.5
19,2014,20,TOR,Delon Wright,University of Utah,1,8,23,2,6,4,0.125,0.0,0.0,2.9,0.3,0.8,0.5,-0.1,-0.191,-11.1,-0.1
20,2014,21,DAL,Justin Anderson,University of Virginia,1,23,174,53,27,8,0.37,0.214,0.583,7.6,2.3,1.2,0.3,-0.1,-0.014,-4.6,-0.1
21,2014,22,CHI,Bobby Portis,University of Arkansas,1,21,305,143,93,11,0.462,0.316,0.81,14.5,6.8,4.4,0.5,0.5,0.08,-3.1,-0.1
22,2014,23,POR,Rondae Hollis-Jefferson,University of Arizona,1,19,419,99,116,27,0.481,0.2,0.667,22.1,5.2,6.1,1.4,0.8,0.096,1.7,0.4
23,2014,24,CLE,Tyus Jones,Duke University,1,9,98,27,15,14,0.355,0.5,0.6,10.9,3.0,1.7,1.6,-0.1,-0.04,-5.0,-0.1
24,2014,25,MEM,Jarell Martin,Louisiana State University,1,2,9,2,0,0,0.2,0.0,0.0,4.5,1.0,0.0,0.0,-0.1,-0.341,-23.2,0.0
25,2014,26,SAS,Nikola Milutinov,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2014,27,LAL,Larry Nance Jr.,University of Wyoming,1,37,757,221,185,24,0.541,0.333,0.714,20.5,6.0,5.0,0.6,1.4,0.092,-1.6,0.1
27,2014,28,BOS,R.J. Hunter,Georgia State University,1,22,242,67,29,9,0.347,0.255,0.833,11.0,3.0,1.3,0.4,0.2,0.043,-2.9,-0.1
28,2014,29,BRK,Chris McCullough,Syracuse University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2014,30,GSW,Kevon Looney,"University of California, Los Angeles",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2014,31,MIN,Cedi Osman,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2014,32,HOU,Montrezl Harrell,University of Louisville,1,25,257,87,42,9,0.654,0.0,0.543,10.3,3.5,1.7,0.4,0.6,0.108,-2.6,0.0
34,2014,33,BOS,Jordan Mickey,Louisiana State University,1,3,6,7,3,1,0.667,0.0,1.0,2.0,2.3,1.0,0.3,0.1,0.927,33.2,0.1
35,2014,34,LAL,Anthony Brown,Stanford University,1,19,335,65,43,8,0.306,0.275,0.769,17.6,3.4,2.3,0.4,-0.2,-0.033,-6.1,-0.3
36,2014,35,PHI,Willy Hernangomez,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2014,36,MIN,Rakeem Christmas,Syracuse University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2014,37,PHI,Richaun Holmes,Bowling Green State University,1,32,449,198,75,19,0.59,0.207,0.723,14.0,6.2,2.3,0.6,1.4,0.154,0.8,0.3
39,2014,38,DET,Darrun Hilliard,Villanova University,1,13,82,35,10,2,0.306,0.333,0.818,6.3,2.7,0.8,0.2,0.0,-0.001,-8.7,-0.1
40,2014,39,CHO,Juan Pablo Vaulet,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2014,40,MIA,Josh Richardson,University of Tennessee,1,20,226,38,23,15,0.25,0.238,0.688,11.3,1.9,1.2,0.8,-0.1,-0.026,-5.1,-0.2
42,2014,41,BRK,Pat Connaughton,University of Notre Dame,1,17,49,10,11,1,0.176,0.25,1.0,2.9,0.6,0.6,0.1,-0.2,-0.194,-13.1,-0.1
43,2014,42,UTA,Olivier Hanlan,Boston College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2014,43,IND,Joseph Young,University of Oregon,1,17,109,58,15,22,0.431,0.25,0.8,6.4,3.4,0.9,1.3,0.3,0.137,-0.7,0.0
45,2014,44,PHO,Andrew Harrison,University of Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2014,45,BOS,Marcus Thornton,College of William & Mary,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2014,46,MIL,Norman Powell,"University of California, Los Angeles",1,17,81,21,17,3,0.303,0.143,0.0,4.8,1.2,1.0,0.2,-0.1,-0.073,-6.9,-0.1
48,2014,47,PHI,Arturas Gudaitis,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2014,48,OKC,Dakari Johnson,University of Kentucky,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2014,49,WAS,Aaron White,University of Iowa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2014,50,ATL,Marcus Eriksson,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2014,51,ORL,Tyler Harvey,Eastern Washington University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2014,52,DAL,Satnam Singh,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2014,53,CLE,Sir'Dominic Pointer,St. John's University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2014,54,UTA,Dani Diez,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2014,55,SAS,Cady Lalanne,University of Massachusetts Amherst,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2014,56,NOP,Branden Dawson,Michigan State University,1,2,13,2,3,0,0.333,0.0,0.0,6.5,1.0,1.5,0.0,0.0,0.061,-6.3,0.0
58,2014,57,DEN,Nikola Radicevic,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2014,58,PHI,J.P. Tokoto,University of North Carolina,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2014,59,ATL,Dimitrios Agravanis,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2014,60,PHI,Luka Mitrovic,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
